protocol,IP,ID,Time,F_Pck,B_Pck,F_Hash_IP,B_Hash_IP,F_Hash_port,B_Hash_port,F_TCP_S,B_TCP_S,Label22
6,39.158.6.211,581982824,380.902723,80,0,1,16,16,1,80,0,1
6,104.79.83.78,66433868,382.583954,80,0,1,16,15,1,80,0,1
6,39.158.6.211,581982824,383.871298,80,0,1,16,16,1,80,0,1
6,71.6.22.22,924550376,384.042715,79,1,1,16,16,1,74,0,1
6,165.124.3.187,186193821,384.132614,80,0,1,16,1,1,80,0,1
6,216.203.115.58,520326675,385.16339,80,0,1,16,16,1,79,0,1
6,39.158.6.211,581982824,385.894798,80,0,1,16,16,1,80,0,1
6,134.161.193.6,277620509,387.552056,80,0,1,16,1,1,80,0,1
6,39.158.6.211,581982824,387.869814,80,0,1,16,16,1,80,0,1
6,14.167.155.8,921768834,388.9399,80,0,1,16,1,1,80,0,1
6,185.90.15.6,894986908,389.812668,80,0,1,16,16,1,80,0,1
6,39.158.6.211,581982824,389.876767,80,0,1,16,16,1,80,0,1
6,39.158.6.211,581982824,391.891962,80,0,1,16,16,1,80,0,1
6,189.211.163.195,622899234,391.915387,80,0,1,16,1,1,80,0,1
6,104.53.220.96,570290334,393.28804,80,0,1,16,16,1,79,0,1
6,77.132.141.173,116831898,393.630675,80,0,1,16,1,1,79,0,1
6,39.158.6.211,581982824,393.891593,80,0,1,16,16,1,80,0,1
6,114.36.14.77,838418927,395.992659,80,0,1,16,16,1,80,0,1
6,62.162.18.247,213165965,396.970581,79,1,1,16,1,1,76,0,1
6,114.36.14.77,838418927,397.024676,80,0,1,16,16,1,80,0,1
6,114.36.14.77,838418927,398.048113,80,0,1,16,16,1,80,0,1
6,114.230.7.171,1040634059,398.470163,80,0,1,16,1,1,80,0,1
6,37.189.188.18,923725621,401.936918,80,0,1,16,16,1,80,0,1
6,114.36.14.77,838418927,403.195868,80,0,1,15,16,1,80,0,1
6,104.67.21.129,1000758655,403.530029,79,1,1,16,1,1,79,0,1
6,45.155.133.176,180031196,404.070213,79,1,1,16,16,1,79,0,1
6,114.36.14.77,838418927,404.225954,80,0,1,16,16,1,80,0,1
6,175.158.154.221,822955710,404.49707,78,2,1,16,1,1,77,0,1
6,134.161.47.196,955916633,404.64565,80,0,1,16,1,1,79,0,1
6,114.36.14.77,838418927,405.258892,80,0,1,16,16,1,80,0,1
6,45.155.246.52,808319281,405.966875,79,1,1,16,15,1,77,0,1
6,114.36.14.77,838418927,406.293903,80,0,1,16,16,1,80,0,1
6,45.157.155.79,47353260,406.401359,80,0,1,16,1,1,80,0,1
6,64.159.20.28,830274231,407.228781,78,2,1,16,1,1,71,0,1
6,165.124.3.187,186193821,407.230544,78,2,1,16,1,1,77,0,1
6,14.167.155.8,921768834,410.933257,80,0,1,16,1,1,80,0,1
6,104.67.21.129,1000758655,413.183608,79,1,1,16,1,1,77,0,1
6,64.159.106.179,228099134,416.14034,77,3,1,16,16,1,76,0,1
6,193.81.224.24,75566609,421.89261,80,0,1,16,1,1,80,0,1
6,14.167.155.8,921768834,427.829064,80,0,1,16,1,1,80,0,1
6,45.252.16.195,135166219,427.911766,80,0,1,16,16,1,80,0,1
6,203.95.220.235,660078210,428.46013,80,0,1,16,16,1,80,0,1
6,104.67.21.129,1000758655,429.578177,79,1,1,16,1,1,79,0,1
6,110.142.235.230,176547894,429.767791,80,0,1,16,1,1,77,0,1
6,104.53.220.96,570290334,431.004423,79,1,1,16,16,1,79,0,1
6,199.60.14.9,223649941,433.178532,79,1,1,16,16,1,79,0,1
6,14.98.182.248,613261125,435.144629,80,0,1,16,16,1,80,0,1
6,47.155.32.253,160283593,438.563389,80,0,1,16,1,1,80,0,1
6,14.167.155.8,921768834,443.833373,80,0,1,16,1,1,80,0,1
6,104.67.21.129,1000758655,444.340347,79,1,1,16,1,1,76,0,1
6,178.254.24.234,474725756,445.368744,80,0,1,16,1,1,79,0,1
6,45.155.246.52,808319281,447.437813,79,1,1,16,16,1,77,0,1
6,185.183.30.113,754698047,447.466241,79,1,1,16,16,1,79,0,1
6,185.90.15.6,894986908,452.138512,80,0,1,16,16,1,80,0,1
6,104.67.21.129,1000758655,452.265916,80,0,1,16,1,1,79,0,1
6,167.89.255.165,120894395,453.115638,80,0,1,16,1,1,80,0,1
6,175.158.154.221,822955710,454.337824,78,2,1,16,1,1,78,0,1
