bitC0,bitC1,bitC2,bitC3,bitC4,bitC5,bitC6,bitC7,
1,3,4,6,8,9,15,19,
1,2,3,4,5,9,12,15,
1,2,3,4,5,12,15,34,
1,2,3,5,6,7,11,14,
1,3,4,5,6,8,9,21,
1,2,3,4,7,9,14,33,
1,2,3,4,5,6,7,9,
1,2,3,5,6,9,18,26,
1,2,3,4,6,10,13,15,
1,2,4,6,8,20,21,22,
1,2,3,4,5,6,14,18,
1,2,3,4,6,9,17,21,
1,2,3,4,5,6,13,24,
1,2,3,4,5,7,13,14,
1,2,4,7,8,9,12,18,
1,2,3,4,5,11,12,14,
1,2,3,4,8,10,13,16,
1,2,3,4,7,10,13,17,
1,2,3,4,5,6,10,23,
1,2,3,6,7,9,11,20,
1,3,4,5,7,8,13,15,
1,2,3,4,7,9,10,25,
1,2,3,4,6,7,9,15,
1,2,4,5,6,8,9,26,
1,2,4,5,7,8,9,16,
1,2,3,4,7,9,14,27,
1,2,3,4,6,8,12,34,
1,2,3,4,5,8,9,16,
1,2,3,4,6,13,16,19,
1,2,3,4,5,7,9,57,
1,2,3,6,7,8,10,23,
1,2,3,4,5,12,16,22,
1,2,3,5,6,7,13,24,
1,3,4,5,7,13,15,46,
1,2,3,5,6,7,8,16,
1,3,4,5,6,9,12,17,
1,2,3,4,5,6,11,19,
1,2,3,4,5,6,8,18,
1,2,3,4,5,8,9,12,
1,2,3,4,5,7,8,19,
1,2,3,4,5,14,19,20,
1,2,3,5,8,9,10,29,
1,2,5,6,8,9,27,33,
1,2,3,6,11,13,21,35,
1,2,4,5,7,9,12,18,
1,2,3,5,9,13,18,26,
1,3,4,5,8,9,14,15,
1,2,3,4,7,11,15,23,
1,2,4,7,8,9,14,16,
1,3,4,5,7,8,11,24,
1,2,3,6,8,10,12,26,
1,3,4,5,12,13,16,23,
1,2,3,6,8,12,17,26,
1,2,4,5,6,9,12,15,
1,2,3,4,5,8,9,12,
1,2,4,5,6,7,8,11,
1,2,4,5,6,7,15,22,
1,3,5,7,8,10,13,14,
1,2,3,4,5,6,11,12,
1,2,4,5,6,7,12,20,
1,3,4,5,6,7,12,14,
1,2,3,5,8,9,14,27,
1,3,4,5,6,12,17,25,
1,2,3,4,5,7,15,33,
1,2,3,5,7,9,13,22,
1,3,4,10,11,12,21,26,
1,2,3,5,6,7,9,12,
1,2,4,5,6,11,12,14,
1,2,3,5,6,7,11,14,
1,2,3,6,7,8,10,15,
1,2,3,5,9,11,14,19,
1,2,3,4,8,9,10,13,
1,2,3,4,6,8,11,16,
1,2,3,4,5,6,8,12,
1,2,3,4,6,8,17,34,
1,2,3,4,6,10,12,14,
1,2,3,4,10,11,17,20,
1,3,4,5,12,13,18,38,
1,2,3,4,5,6,8,9,
1,2,3,4,6,15,18,30,
1,2,3,4,5,6,9,10,
1,2,3,4,6,14,15,30,
1,2,3,9,10,14,25,31,
1,2,3,4,5,11,12,30,
1,2,3,5,7,12,13,44,
1,2,3,4,7,10,16,25,
1,2,4,5,7,8,11,13,
1,2,3,5,6,7,15,23,
1,3,4,5,6,16,17,18,
1,2,3,4,6,12,31,40,
1,2,3,5,7,10,15,32,
1,2,3,4,5,8,15,33,
1,2,3,4,5,6,11,22,
1,2,4,5,6,7,8,9,
1,2,3,6,8,15,16,26,
1,2,4,5,6,7,8,16,
1,2,3,4,5,10,13,14,
1,2,3,6,7,8,11,12,
1,2,4,6,7,8,10,30,
1,2,3,4,5,7,9,13,
1,2,3,5,6,13,15,20,
1,2,3,4,5,7,10,20,
1,2,3,4,5,11,12,15,
1,2,4,5,7,10,12,15,
1,2,4,6,10,11,15,30,
1,2,3,5,7,17,22,26,
1,2,3,4,5,7,18,21,
1,2,3,4,6,7,8,16,
1,2,3,5,6,7,18,24,
1,3,4,5,7,9,11,34,
1,2,3,6,7,8,10,13,
1,3,4,7,8,11,18,26,
1,2,3,5,6,7,19,24,
1,2,3,5,7,9,12,13,
1,2,3,5,6,9,10,14,
1,2,3,5,8,9,14,17,
1,2,3,4,6,11,18,22,
1,2,3,6,8,9,11,19,
1,2,3,4,7,9,15,28,
1,2,3,6,7,8,16,17,
1,2,3,4,8,9,10,18,
1,2,3,4,5,6,11,16,
1,2,3,5,8,14,15,18,
1,2,3,6,7,8,16,20,
1,2,3,6,7,8,9,42,
1,2,3,5,6,7,12,25,
1,2,4,7,8,10,11,13,
1,2,3,4,5,6,8,41,
1,2,3,5,6,7,8,11,
1,3,5,6,7,8,9,25,
1,2,4,5,7,16,26,31,
1,2,3,4,7,8,9,10,
1,2,4,5,11,16,23,36,
1,2,3,4,5,6,10,13,
1,2,4,6,7,9,12,13,
1,2,4,6,8,9,10,18,
1,2,4,5,7,11,19,23,
1,2,3,5,8,10,11,31,
1,2,3,4,5,6,9,19,
1,2,3,5,6,7,8,10,
1,2,3,4,6,7,13,27,
1,2,3,4,7,9,26,32,
1,2,3,4,5,12,13,22,
1,2,3,7,13,15,16,25,
1,2,3,6,7,8,10,12,
1,2,3,5,7,9,13,21,
1,2,3,4,6,8,10,11,
1,2,3,5,6,8,18,33,
1,2,3,5,9,12,14,36,
1,2,3,6,7,9,14,29,
1,2,3,4,6,12,13,21,
1,2,3,4,5,6,13,21,
1,3,4,6,8,9,11,38,
1,2,3,5,7,13,14,16,
1,2,4,5,7,10,21,24,
1,3,4,6,7,9,16,17,
1,2,5,6,7,9,11,22,
1,3,4,5,6,7,11,23,
1,2,3,4,6,13,16,25,
1,2,3,4,5,18,20,24,
1,2,3,4,6,9,10,13,
1,3,4,6,10,13,15,25,
1,2,5,8,11,13,16,40,
1,2,3,4,6,8,11,33,
1,2,3,4,6,8,9,42,
1,2,4,5,7,9,17,19,
1,2,3,5,6,14,20,26,
1,2,3,5,6,7,8,14,
1,2,3,4,5,6,8,27,
1,2,3,4,7,13,17,42,
1,2,3,4,8,10,15,20,
1,2,4,6,7,8,9,25,
1,2,3,5,6,7,9,12,
1,2,3,5,6,7,8,20,
1,3,4,5,6,10,13,16,
1,2,3,6,8,10,14,22,
1,3,6,7,8,11,18,23,
1,2,3,6,7,8,10,15,
1,2,3,4,5,6,7,10,
1,2,4,7,9,10,14,20,
1,2,3,5,7,9,10,18,
1,2,3,4,6,8,10,11,
1,3,4,7,8,11,12,22,
1,2,5,6,8,12,14,15,
1,2,3,5,6,12,17,20,
1,2,3,5,7,11,13,15,
1,2,3,4,5,6,7,25,
1,2,4,5,6,7,12,30,
